,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
1538,19506,Brockport,1.0,0.0,0.0,7193.0,0.13902405116085084,87.0,21.4,5.1,4.7
1539,19512,Brockport,1.0,1.0,1.0,17222.0,0.05806526535826268,88.7,21.2,6.9,7.3
1540,19530,Canandaigua,1.0,1.0,1.0,16130.0,0.061996280223186616,87.3,27.6,14.5,7.6
1541,19540,Canandaigua,1.0,1.0,1.0,11395.0,0.08775778850372971,91.9,31.3,7.4,4.8
1542,19555,Canandaigua,1.0,2.0,2.0,3409.0,0.2933411557641537,86.4,16.4,5.9,4.7
1543,19560,Fairport,1.0,0.0,0.0,7752.0,0.12899896800825594,87.2,16.7,10.5,4.1
1544,19601,Geneva,1.0,0.0,0.0,34516.0,0.028972070923629623,65.3,8.5,36.8,18.5
1545,19602,Geneva,8.0,3.0,3.0,16485.0,0.48528965726417955,65.2,8.5,37.4,20.2
1546,19604,Hilton,5.0,2.0,2.0,26826.0,0.1863863416088869,65.9,8.5,34.4,13.5
1547,19606,Honeoye,1.0,0.0,0.0,34862.0,0.028684527565830988,90.0,30.9,10.5,6.5
1548,19701,Stanley,5.0,2.0,2.0,40832.0,0.12245297805642633,93.9,37.5,5.3,7.6
1549,19702,Victor,10.0,0.0,0.0,54668.0,0.1829223677471281,90.2,36.8,9.5,6.1
1550,19703,Wolcott,2.0,0.0,0.0,15071.0,0.13270519540840023,91.5,29.3,11.2,7.9
1551,19709,Rochester,3.0,0.0,0.0,39223.0,0.07648573541034598,95.8,36.4,4.7,4.2
1552,19711,Rochester,7.0,0.0,0.0,52157.0,0.13421017313112335,95.2,50.7,16.3,4.9
1553,19713,Rochester,4.0,0.0,0.0,30548.0,0.13094146916328403,90.4,28.8,11.0,6.2
1554,19720,Rochester,26.0,2.0,2.0,61152.0,0.42517006802721086,87.7,19.7,13.0,6.9
1555,19801,Rochester,55.0,6.0,6.0,16063.0,3.424017929402976,79.9,17.2,42.2,14.1
1556,19802,Rochester,68.0,11.0,11.0,26308.0,2.584765090466778,85.7,20.3,24.1,9.5
1557,19804,Rochester,4.0,0.0,0.0,17380.0,0.23014959723820486,83.7,17.6,12.9,8.3
1558,19805,Rochester,53.0,13.0,13.0,39697.0,1.3351134846461947,83.0,20.7,23.3,9.7
1559,19806,Rochester,4.0,2.0,2.0,9526.0,0.41990342221289106,95.2,61.0,8.1,2.5
1560,19807,Rochester,1.0,0.0,0.0,6980.0,0.14326647564469913,98.1,77.6,4.0,2.5
1561,19808,Rochester,3.0,2.0,2.0,40726.0,0.07366301625497225,92.5,37.9,10.1,5.0
1562,19809,Rochester,6.0,3.0,3.0,14861.0,0.4037413363838234,93.8,39.2,11.0,8.9
1563,19810,Rochester,1.0,0.0,0.0,25665.0,0.03896356906292617,96.3,50.7,3.2,5.1
1564,19901,Rochester,28.0,2.0,2.0,37189.0,0.752910806959047,87.0,25.8,16.2,7.3
1565,19904,Rochester,32.0,3.0,3.0,35000.0,0.9142857142857143,88.0,28.1,14.2,7.3
1566,19933,Rochester,3.0,2.0,2.0,9786.0,0.30656039239730226,81.0,16.1,20.7,5.9
1567,19934,Rochester,1.0,0.0,0.0,13569.0,0.07369739848183358,91.1,30.5,6.4,2.5
1568,19945,Rochester,1.0,0.0,0.0,6251.0,0.15997440409534475,80.7,15.6,14.1,8.5
1569,19946,Rochester,1.0,0.0,0.0,5079.0,0.19688915140775745,83.3,16.5,21.5,12.9
